Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginRegistrationSuite1,Firefox 59.0,,2018-06-24 17:53:48,2018-06-24 17:54:47,59.023s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 17:53:49,2018-06-24 17:54:18,29.626s,PASSED
openBrowser,Firefox 59.0,,2018-06-24 17:53:50,2018-06-24 17:54:16,26.021s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:16,2018-06-24 17:54:16,0.643s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:16,2018-06-24 17:54:16,0.288s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:16,2018-06-24 17:54:17,0.343s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:17,2018-06-24 17:54:17,0.393s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:17,2018-06-24 17:54:18,0.318s,PASSED
closeBrowser,Firefox 59.0,,2018-06-24 17:54:18,2018-06-24 17:54:18,0.837s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 17:54:18,2018-06-24 17:54:46,27.250s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 17:54:19,2018-06-24 17:54:31,12.144s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 17:54:31,2018-06-24 17:54:37,5.791s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:37,2018-06-24 17:54:37,0.622s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:37,2018-06-24 17:54:38,0.336s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:38,2018-06-24 17:54:38,0.405s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:38,2018-06-24 17:54:38,0.497s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:38,2018-06-24 17:54:39,0.348s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:39,2018-06-24 17:54:41,1.955s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:41,2018-06-24 17:54:41,0.468s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:41,2018-06-24 17:54:42,0.340s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:42,2018-06-24 17:54:42,0.303s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:42,2018-06-24 17:54:42,0.409s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:42,2018-06-24 17:54:43,0.220s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:43,2018-06-24 17:54:43,0.168s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:43,2018-06-24 17:54:43,0.217s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:43,2018-06-24 17:54:43,0.226s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:43,2018-06-24 17:54:44,0.607s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:44,2018-06-24 17:54:45,0.995s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:45,2018-06-24 17:54:45,0.554s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:45,2018-06-24 17:54:46,0.305s,FAILED
