Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginRegistrationSuite1,Firefox 59.0,,2018-06-24 18:13:24,2018-06-24 18:14:06,41.931s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 18:13:24,2018-06-24 18:13:43,18.835s,PASSED
openBrowser,Firefox 59.0,,2018-06-24 18:13:25,2018-06-24 18:13:40,15.196s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:40,2018-06-24 18:13:41,0.596s,PASSED
setText,Firefox 59.0,,2018-06-24 18:13:41,2018-06-24 18:13:41,0.516s,PASSED
setText,Firefox 59.0,,2018-06-24 18:13:41,2018-06-24 18:13:42,0.404s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:42,2018-06-24 18:13:42,0.435s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:42,2018-06-24 18:13:43,0.396s,PASSED
closeBrowser,Firefox 59.0,,2018-06-24 18:13:43,2018-06-24 18:13:43,0.792s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 18:13:43,2018-06-24 18:14:05,21.831s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 18:13:44,2018-06-24 18:13:53,9.227s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 18:13:53,2018-06-24 18:13:57,3.902s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:57,2018-06-24 18:13:58,1.128s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:58,2018-06-24 18:13:58,0.401s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:58,2018-06-24 18:13:59,0.333s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:59,2018-06-24 18:13:59,0.460s,PASSED
click,Firefox 59.0,,2018-06-24 18:13:59,2018-06-24 18:14:00,0.350s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:00,2018-06-24 18:14:00,0.915s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:00,2018-06-24 18:14:01,0.463s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:01,2018-06-24 18:14:01,0.450s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:01,2018-06-24 18:14:02,0.416s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:02,2018-06-24 18:14:02,0.500s,PASSED
setText,Firefox 59.0,,2018-06-24 18:14:02,2018-06-24 18:14:02,0.208s,PASSED
setText,Firefox 59.0,,2018-06-24 18:14:02,2018-06-24 18:14:03,0.161s,PASSED
setText,Firefox 59.0,,2018-06-24 18:14:03,2018-06-24 18:14:03,0.160s,PASSED
setText,Firefox 59.0,,2018-06-24 18:14:03,2018-06-24 18:14:03,0.207s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:03,2018-06-24 18:14:04,0.615s,PASSED
setText,Firefox 59.0,,2018-06-24 18:14:04,2018-06-24 18:14:04,0.644s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:04,2018-06-24 18:14:05,0.534s,PASSED
click,Firefox 59.0,,2018-06-24 18:14:05,2018-06-24 18:14:05,0.343s,FAILED
