Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginRegistrationSuite1,Firefox 59.0,,2018-06-24 22:33:15,2018-06-24 22:34:26,1m - 10.295s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 22:33:16,2018-06-24 22:33:50,33.604s,PASSED
Start setup action : setupCase,Firefox 59.0,,2018-06-24 22:33:16,2018-06-24 22:33:46,29.938s,PASSED
click,Firefox 59.0,,2018-06-24 22:33:46,2018-06-24 22:33:47,0.772s,PASSED
setText,Firefox 59.0,,2018-06-24 22:33:47,2018-06-24 22:33:47,0.485s,PASSED
setText,Firefox 59.0,,2018-06-24 22:33:47,2018-06-24 22:33:48,0.320s,PASSED
click,Firefox 59.0,,2018-06-24 22:33:48,2018-06-24 22:33:49,0.810s,PASSED
click,Firefox 59.0,,2018-06-24 22:33:49,2018-06-24 22:33:49,0.358s,PASSED
Start tear down : tearDownifPassed,Firefox 59.0,,2018-06-24 22:33:49,2018-06-24 22:33:49,0.035s,PASSED
Start tear down : tearDownCase,Firefox 59.0,,2018-06-24 22:33:49,2018-06-24 22:33:50,0.767s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 22:33:50,2018-06-24 22:34:25,35.372s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 22:33:50,2018-06-24 22:34:03,13.307s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 22:34:03,2018-06-24 22:34:12,8.570s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:12,2018-06-24 22:34:13,0.941s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:13,2018-06-24 22:34:13,0.524s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:13,2018-06-24 22:34:14,0.377s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:14,2018-06-24 22:34:14,0.502s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:14,2018-06-24 22:34:15,0.529s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:15,2018-06-24 22:34:17,2.422s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:17,2018-06-24 22:34:18,0.374s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:18,2018-06-24 22:34:18,0.363s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:18,2018-06-24 22:34:18,0.320s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:18,2018-06-24 22:34:19,0.547s,PASSED
setText,Firefox 59.0,,2018-06-24 22:34:19,2018-06-24 22:34:19,0.294s,PASSED
setText,Firefox 59.0,,2018-06-24 22:34:19,2018-06-24 22:34:19,0.391s,PASSED
setText,Firefox 59.0,,2018-06-24 22:34:19,2018-06-24 22:34:20,0.269s,PASSED
setText,Firefox 59.0,,2018-06-24 22:34:20,2018-06-24 22:34:20,0.255s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:20,2018-06-24 22:34:21,0.801s,PASSED
setText,Firefox 59.0,,2018-06-24 22:34:21,2018-06-24 22:34:23,1.862s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:23,2018-06-24 22:34:23,0.804s,PASSED
click,Firefox 59.0,,2018-06-24 22:34:23,2018-06-24 22:34:24,0.917s,FAILED
Start tear down : tearDownifFailed,Firefox 59.0,,2018-06-24 22:34:24,2018-06-24 22:34:25,0.695s,PASSED
